course_id,course_name,course_type,credits,hours,college,difficulty_level,has_experiment
C0001,高等数学A,公共必修,2,32,教务处,4,False
C0002,高等数学B,公共必修,4,64,教务处,4,False
C0003,线性代数,公共必修,4,64,教务处,3,False
C0004,概率论与数理统计,公共必修,4,64,教务处,3,False
C0005,大学物理,公共必修,3,48,教务处,4,True
C0006,大学物理实验,公共必修,2,32,教务处,2,True
C0007,大学英语1,公共必修,4,64,教务处,3,False
C0008,大学英语2,公共必修,4,64,教务处,3,False
C0009,大学英语3,公共必修,3,48,教务处,3,False
C0010,大学英语4,公共必修,2,32,教务处,3,False
C0011,思想道德与法治,公共必修,4,64,教务处,2,False
C0012,中国近现代史纲要,公共必修,3,48,教务处,3,False
C0013,马克思主义基本原理,公共必修,3,48,教务处,2,False
C0014,毛泽东思想和中国特色社会主义理论体系概论,公共必修,3,48,教务处,3,False
C0015,形势与政策,公共必修,2,32,教务处,2,False
C0016,军事理论,公共必修,4,64,教务处,4,False
C0017,大学体育1,公共必修,2,32,教务处,2,False
C0018,大学体育2,公共必修,2,32,教务处,2,False
C0019,大学体育3,公共必修,2,32,教务处,2,False
C0020,大学体育4,公共必修,2,32,教务处,4,False
C0021,计算机基础,公共必修,4,64,教务处,3,True
C0022,程序设计基础,公共必修,3,48,教务处,2,False
C0023,大学语文,公共必修,4,64,教务处,4,False
C0024,心理健康教育,公共必修,3,48,教务处,2,False
C0025,数据结构,专业必修,3,48,计算机学院,4,False
C0026,计算机组成原理,专业必修,4,64,计算机学院,5,False
C0027,操作系统,专业必修,4,64,计算机学院,5,False
C0028,计算机网络,专业必修,3,48,计算机学院,5,False
C0029,数据库原理,专业必修,3,48,计算机学院,5,False
C0030,软件工程,专业必修,3,48,计算机学院,4,False
C0031,编译原理,专业必修,3,48,计算机学院,5,False
C0032,算法设计与分析,专业必修,4,64,计算机学院,5,True
C0033,Java程序设计,专业必修,4,64,计算机学院,4,True
C0034,Python程序设计,专业必修,3,48,计算机学院,3,True
C0035,Web开发技术,专业必修,3,48,计算机学院,5,True
C0036,移动应用开发,专业必修,2,32,计算机学院,4,True
C0037,人工智能导论,专业必修,4,64,计算机学院,5,False
C0038,机器学习,专业必修,2,32,计算机学院,4,False
C0039,云计算技术,专业必修,4,64,计算机学院,3,True
C0040,微观经济学,专业必修,2,32,经济管理学院,4,False
C0041,宏观经济学,专业必修,4,64,经济管理学院,4,False
C0042,管理学原理,专业必修,2,32,经济管理学院,3,False
C0043,会计学,专业必修,2,32,经济管理学院,3,False
C0044,财务管理,专业必修,4,64,经济管理学院,4,False
C0045,市场营销学,专业必修,4,64,经济管理学院,4,False
C0046,统计学,专业必修,2,32,经济管理学院,4,False
C0047,运筹学,专业必修,3,48,经济管理学院,4,False
C0048,组织行为学,专业必修,3,48,经济管理学院,4,False
C0049,人力资源管理,专业必修,3,48,经济管理学院,5,False
C0050,战略管理,专业必修,3,48,经济管理学院,3,False
C0051,国际贸易,专业必修,4,64,经济管理学院,4,False
C0052,金融学,专业必修,2,32,经济管理学院,5,False
C0053,投资学,专业必修,4,64,经济管理学院,5,False
C0054,审计学,专业必修,3,48,经济管理学院,3,False
C0055,理论力学,专业必修,4,64,机械工程学院,3,False
C0056,材料力学,专业必修,3,48,机械工程学院,4,False
C0057,机械原理,专业必修,4,64,机械工程学院,4,False
C0058,机械设计,专业必修,3,48,机械工程学院,5,True
C0059,工程制图,专业必修,4,64,机械工程学院,5,False
C0060,机械制造技术,专业必修,2,32,机械工程学院,3,True
C0061,CAD/CAM技术,专业必修,3,48,机械工程学院,5,True
C0062,液压传动,专业必修,2,32,机械工程学院,4,False
C0063,数控技术,专业必修,4,64,机械工程学院,5,True
C0064,测试技术,专业必修,3,48,机械工程学院,5,True
C0065,机电一体化,专业必修,4,64,机械工程学院,4,False
C0066,工业机器人,专业必修,2,32,机械工程学院,4,False
C0067,机械工程控制基础,专业必修,3,48,机械工程学院,3,False
C0068,电路分析,专业必修,4,64,电子信息学院,4,False
C0069,模拟电子技术,专业必修,3,48,电子信息学院,4,True
C0070,数字电子技术,专业必修,4,64,电子信息学院,5,True
C0071,信号与系统,专业必修,2,32,电子信息学院,4,False
C0072,通信原理,专业必修,3,48,电子信息学院,4,False
C0073,单片机原理,专业必修,2,32,电子信息学院,3,False
C0074,数字信号处理,专业必修,4,64,电子信息学院,5,False
C0075,电磁场与电磁波,专业必修,3,48,电子信息学院,3,False
C0076,传感器技术,专业必修,4,64,电子信息学院,4,True
C0077,自动控制原理,专业必修,2,32,电子信息学院,4,False
C0078,DSP技术,专业必修,4,64,电子信息学院,5,True
C0079,嵌入式系统,专业必修,4,64,电子信息学院,3,False
C0080,理论力学,专业必修,3,48,土木工程学院,4,False
C0081,材料力学,专业必修,2,32,土木工程学院,4,False
C0082,结构力学,专业必修,2,32,土木工程学院,3,False
C0083,土力学,专业必修,3,48,土木工程学院,3,False
C0084,房屋建筑学,专业必修,4,64,土木工程学院,3,False
C0085,混凝土结构设计,专业必修,4,64,土木工程学院,4,True
C0086,钢结构设计,专业必修,4,64,土木工程学院,4,True
C0087,工程测量,专业必修,3,48,土木工程学院,5,False
C0088,施工技术,专业必修,2,32,土木工程学院,4,True
C0089,工程项目管理,专业必修,3,48,土木工程学院,5,False
C0090,建筑CAD,专业必修,2,32,土木工程学院,5,True
C0091,BIM技术,专业必修,3,48,土木工程学院,3,True
C0092,工程造价,专业必修,4,64,土木工程学院,5,False
C0093,创新创业基础,专业选修,2,32,电子信息学院,4,False
C0094,职业生涯规划,专业选修,3,48,化学学院,3,False
C0095,就业指导,专业选修,1,16,数学学院,4,False
C0096,科技论文写作,专业选修,1,16,化学学院,3,False
C0097,专业英语,专业选修,2,32,计算机学院,2,False
C0098,大数据分析,专业选修,3,48,计算机学院,2,False
C0099,区块链技术,专业选修,1,16,物理学院,2,False
C0100,信息安全,专业选修,3,48,数学学院,4,False
C0101,物联网技术,专业选修,3,48,经济管理学院,3,False
